datetime,signal,instrument,strike,entry,exit,pnl
2023-01-17 10:15:00+05:30,-1,NIFTY19JAN2318000CE,18000.0,95.55,99.3,-3.75
2023-01-17 11:35:00+05:30,1,NIFTY19JAN2318000CE,18000.0,87.95,88.3,0.3499999999999943
2023-01-17 12:25:00+05:30,-1,NIFTY19JAN2318000CE,18000.0,77.7,75.75,1.9500000000000028
2023-01-17 13:35:00+05:30,1,NIFTY19JAN2317950CE,17950.0,92.4,95.6,3.1999999999999886
2023-01-18 09:25:00+05:30,-1,NIFTY19JAN2318050CE,18050.0,74.35,67.35,7.0
2023-01-18 09:45:00+05:30,1,NIFTY19JAN2318100CE,18100.0,65.5,64.6,-0.9000000000000057
2023-01-18 10:20:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,74.0,77.1,-3.0999999999999943
2023-01-18 11:10:00+05:30,1,NIFTY19JAN2318100CE,18100.0,85.35,86.9,1.5500000000000114
2023-01-18 11:55:00+05:30,-1,NIFTY19JAN2318150CE,18150.0,71.15,72.15,-1.0
2023-01-18 13:35:00+05:30,1,NIFTY19JAN2318150CE,18150.0,74.35,74.55,0.20000000000000284
2023-01-18 14:00:00+05:30,-1,NIFTY19JAN2318150CE,18150.0,64.05,63.7,0.3499999999999943
2023-01-18 14:30:00+05:30,1,NIFTY19JAN2318150CE,18150.0,63.55,67.8,4.25
2023-01-18 15:05:00+05:30,-1,NIFTY19JAN2318150CE,18150.0,58.35,61.75,-3.3999999999999986
2023-01-18 15:30:00+05:30,1,NIFTY19JAN2318150CE,18150.0,58.25,58.25,0.0
2023-01-19 09:20:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,53.45,53.4,0.05000000000000426
2023-01-19 09:50:00+05:30,1,NIFTY19JAN2318100CE,18100.0,42.35,40.75,-1.6000000000000014
2023-01-19 10:05:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,25.55,26.05,-0.5
2023-01-19 10:25:00+05:30,1,NIFTY19JAN2318100CE,18100.0,28.2,30.0,1.8000000000000007
2023-01-19 11:30:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,44.3,44.7,-0.4000000000000057
2023-01-19 11:45:00+05:30,1,NIFTY19JAN2318100CE,18100.0,58.8,61.05,2.25
2023-01-19 12:05:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,43.35,47.55,-4.199999999999996
2023-01-19 12:25:00+05:30,1,NIFTY19JAN2318150CE,18150.0,20.5,20.45,-0.05000000000000071
2023-01-19 12:45:00+05:30,-1,NIFTY19JAN2318150CE,18150.0,20.5,16.8,3.6999999999999993
2023-01-19 13:30:00+05:30,1,NIFTY19JAN2318100CE,18100.0,37.95,41.55,3.5999999999999943
2023-01-19 13:50:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,32.95,30.4,2.5500000000000043
2023-01-19 14:10:00+05:30,1,NIFTY19JAN2318150CE,18150.0,13.8,12.85,-0.9500000000000011
2023-01-19 14:25:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,15.95,17.2,-1.25
2023-01-19 14:55:00+05:30,1,NIFTY19JAN2318100CE,18100.0,16.85,19.0,2.1499999999999986
2023-01-19 15:00:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,13.7,21.7,-8.0
2023-01-19 15:05:00+05:30,1,NIFTY19JAN2318100CE,18100.0,20.5,17.75,-2.75
2023-01-19 15:25:00+05:30,-1,NIFTY19JAN2318100CE,18100.0,7.45,6.9,0.5499999999999998
2023-01-20 09:25:00+05:30,1,NIFTY25JAN2318100CE,18100.0,111.55,109.05,-2.5
2023-01-20 09:30:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,101.8,96.6,5.200000000000003
2023-01-20 10:05:00+05:30,1,NIFTY25JAN2318100CE,18100.0,102.0,103.0,1.0
2023-01-20 11:00:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,118.25,118.0,0.25
2023-01-20 12:20:00+05:30,1,NIFTY25JAN2318100CE,18100.0,105.35,106.8,1.4500000000000028
2023-01-20 12:45:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,96.4,95.75,0.6500000000000057
2023-01-20 13:05:00+05:30,1,NIFTY25JAN2318100CE,18100.0,102.55,101.85,-0.7000000000000028
2023-01-20 13:35:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,98.9,98.25,0.6500000000000057
2023-01-20 14:20:00+05:30,1,NIFTY25JAN2318050CE,18050.0,106.75,105.3,-1.4500000000000028
2023-01-20 14:35:00+05:30,-1,NIFTY25JAN2318050CE,18050.0,92.85,95.0,-2.1500000000000057
2023-01-20 14:50:00+05:30,1,NIFTY25JAN2318050CE,18050.0,98.0,99.75,1.75
2023-01-20 15:15:00+05:30,-1,NIFTY25JAN2318050CE,18050.0,94.15,93.3,0.8500000000000085
2023-01-23 09:20:00+05:30,1,NIFTY25JAN2318100CE,18100.0,92.8,93.05,0.25
2023-01-23 10:25:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,89.85,90.65,-0.8000000000000114
2023-01-23 11:05:00+05:30,1,NIFTY25JAN2318150CE,18150.0,88.65,88.3,-0.3500000000000085
2023-01-23 11:15:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,82.1,82.65,-0.5500000000000114
2023-01-23 11:50:00+05:30,1,NIFTY25JAN2318150CE,18150.0,85.3,82.5,-2.799999999999997
2023-01-23 11:55:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,75.6,75.05,0.5499999999999972
2023-01-23 13:20:00+05:30,1,NIFTY25JAN2318100CE,18100.0,81.95,82.7,0.75
2023-01-23 14:40:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,60.05,60.4,-0.3500000000000014
2023-01-23 15:10:00+05:30,1,NIFTY25JAN2318100CE,18100.0,94.35,92.1,-2.25
2023-01-23 15:25:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,87.05,87.95,-0.9000000000000057
2023-01-24 09:20:00+05:30,1,NIFTY25JAN2318150CE,18150.0,82.35,80.55,-1.7999999999999972
2023-01-24 09:55:00+05:30,-1,NIFTY25JAN2318200CE,18200.0,44.45,44.25,0.20000000000000284
